eye_metric,umr_feature,feature_set,coef,p_value,intercept,random_effect_var,n_obs,n_subjects
TRT_sum,num_nodes,num_nodes,155.9066,0.0,178.1886,333367.8161,6083,18
TRT_sum,num_edges,num_edges,84.855,0.0,323.8021,331284.2566,6083,18
TRT_sum,max_depth,max_depth,329.355,0.0,993.4651,327439.1586,6083,18
TRT_sum,avg_depth,avg_depth,712.8503,0.0,733.2664,328133.9451,6083,18
TRT_sum,num_predicates,num_predicates,307.261,0.0,1219.5922,328077.1809,6083,18
TRT_sum,num_entities,num_entities,176.6874,0.0,537.6344,332945.8441,6083,18
TRT_sum,num_reentrancies,num_reentrancies,492.8374,0.0,1555.6034,329373.6401,6083,18
TRT_sum,avg_degree,avg_degree,1405.0929,0.0,-1470.3336,325381.6093,6083,18
TRT_sum,max_degree,max_degree,470.628,0.0,-120.5937,328353.7113,6083,18
nFix_avg,num_nodes,num_nodes,0.0002,0.854892,1.504,0.0362,6019,18
nFix_avg,num_edges,num_edges,0.0009,0.06019,1.4853,0.0362,6019,18
nFix_avg,max_depth,max_depth,0.0002,0.966421,1.5055,0.0362,6019,18
nFix_avg,avg_depth,avg_depth,0.0066,0.384076,1.4913,0.0362,6019,18
nFix_avg,num_predicates,num_predicates,-0.0043,0.086933,1.5221,0.0362,6019,18
nFix_avg,num_entities,num_entities,0.001,0.343092,1.4958,0.0362,6019,18
nFix_avg,num_reentrancies,num_reentrancies,-0.0052,0.222681,1.5146,0.0362,6019,18
nFix_avg,avg_degree,avg_degree,0.0444,0.009767,1.3855,0.0361,6019,18
nFix_avg,max_degree,max_degree,-0.0192,9e-06,1.6066,0.0362,6019,18
nFix_sum,num_nodes,num_nodes,1.4298,0.0,0.1894,23.9217,6083,18
nFix_sum,num_edges,num_edges,0.7761,0.0,1.5753,23.7741,6083,18
nFix_sum,max_depth,max_depth,3.0776,0.0,7.4324,23.3533,6083,18
nFix_sum,avg_depth,avg_depth,6.6538,0.0,5.0175,23.4565,6083,18
nFix_sum,num_predicates,num_predicates,2.8518,0.0,9.6161,23.4115,6083,18
nFix_sum,num_entities,num_entities,1.6145,0.0,3.5463,23.9101,6083,18
nFix_sum,num_reentrancies,num_reentrancies,4.5511,0.0,12.7718,23.5336,6083,18
nFix_sum,avg_degree,avg_degree,12.8208,0.0,-14.7515,23.1738,6083,18
nFix_sum,max_degree,max_degree,4.4322,0.0,-3.1585,23.4427,6083,18
